C-----;?
SQNR=256;DATE=25-05-27;TIME=00:04:15;STAT=202222;TMPA=8;TMPP=83;TMPB=24;TMPC=22;RHUA=84;DWPA=5;UINA=48;UINB=4;IFAN=162;IHEA=1227;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=271;DATE=25-05-27;TIME=00:04:30;STAT=202222;TMPA=8;TMPP=83;TMPB=24;TMPC=22;RHUA=84;DWPA=5;UINA=48;UINB=4;IFAN=81;IHEA=1227;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=286;DATE=25-05-27;TIME=00:04:45;STAT=202222;TMPA=8;TMPP=83;TMPB=24;TMPC=22;RHUA=84;DWPA=5;UINA=48;UINB=5;IFAN=81;IHEA=0;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=301;DATE=25-05-27;TIME=00:05:00;STAT=202222;TMPA=8;TMPP=83;TMPB=24;TMPC=22;RHUA=84;DWPA=5;UINA=48;UINB=4;IFAN=184;IHEA=1227;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
C-----;?
V-----; SWVNR=2001253;SQNDL=302;DATE=25-05-27;TIME=00:05:06;THTYP=85;TTEMP=15;TDEWP=5;IUFAN=800;ILFAN=5;IUHEA=3000;PYDEF=10;PYAVT=30;PYAVW=1;PYOST=0;MSDLY=15;FNDLY=30;OSTRG=5;DBGFL=0;ASIRE=900;DBGRE=900;MPPFL=-1;
SQNR=316;DATE=25-05-27;TIME=00:05:15;STAT=202222;TMPA=8;TMPP=83;TMPB=24;TMPC=22;RHUA=84;DWPA=5;UINA=48;UINB=4;IFAN=197;IHEA=1227;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=331;DATE=25-05-27;TIME=00:05:30;STAT=202222;TMPA=8;TMPP=83;TMPB=24;TMPC=22;RHUA=84;DWPA=5;UINA=48;UINB=4;IFAN=181;IHEA=1227;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=346;DATE=25-05-27;TIME=00:05:45;STAT=202222;TMPA=8;TMPP=83;TMPB=24;TMPC=22;RHUA=84;DWPA=5;UINA=48;UINB=4;IFAN=65;IHEA=1227;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=361;DATE=25-05-27;TIME=00:06:00;STAT=202222;TMPA=8;TMPP=83;TMPB=24;TMPC=22;RHUA=84;DWPA=6;UINA=48;UINB=4;IFAN=161;IHEA=1227;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=376;DATE=25-05-27;TIME=00:06:15;STAT=202222;TMPA=8;TMPP=83;TMPB=24;TMPC=22;RHUA=84;DWPA=6;UINA=48;UINB=4;IFAN=204;IHEA=1227;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=391;DATE=25-05-27;TIME=00:06:30;STAT=202222;TMPA=8;TMPP=84;TMPB=24;TMPC=23;RHUA=85;DWPA=6;UINA=48;UINB=5;IFAN=182;IHEA=0;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=406;DATE=25-05-27;TIME=00:06:45;STAT=202222;TMPA=8;TMPP=84;TMPB=24;TMPC=23;RHUA=85;DWPA=6;UINA=48;UINB=5;IFAN=74;IHEA=0;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
